name,location,area,type,link,price,number_of_bedrooms,pictures
Apartment for sale in Fifth Square Al Marasem,"Fifth Square, North Investors Area, New Cairo City, Cairo",140 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-fifth-square-1828788.html,"1,619,675 EGP",3 ,https://www.propertyfinder.eg/property/1619531125/260/185/MODE/f8e86b/1828788-33dc1o.jpg?ctr=eg
Villa furnished Ultra Modern for Sale in AlRehab,"Mahmoud Al Sherif St., Rehab City Third Phase, Al Rehab, New Cairo City, Cairo",400 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-al-rehab-rehab-city-third-phase-mahmoud-al-sherif-st-1828520.html,"9,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619529688/260/185/MODE/f2adf9/1828520-bf85do.jpg?ctr=eg
Villa For sale at Villette compound,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",555 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-1829403.html,"12,200,000 EGP",4 ,https://www.propertyfinder.eg/property/1619534007/260/185/MODE/979e8e/1829403-bb4a9o.jpg?ctr=eg
twin house for sale 300 meters installments,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",300 sqm,Twin House,/en/buy/twin-house-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-1825348.html,"4,800,000 EGP",4 ,https://www.propertyfinder.eg/property/1619444678/260/185/MODE/040a35/1825348-7885do.jpg?ctr=eg
Towmhouse fully finished with A/Cs direct on lake,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",240 sqm,Townhouse,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-park-1825670.html,"5,250,000 EGP",3 ,https://www.propertyfinder.eg/property/1619446520/260/185/MODE/b9d416/1825670-7a42co.jpg?ctr=eg
Villa for Sale in Mivida Emaar Prime Location,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",391 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-1825504.html,"14,350,000 EGP",5 ,https://www.propertyfinder.eg/property/1619445569/260/185/MODE/24dd8d/1825504-dafado.jpg?ctr=eg
Apartment 260m In Midtown With Facilities,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",260 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-sky-1827486.html,"2,350,000 EGP",3 ,https://www.propertyfinder.eg/property/1619523537/260/185/MODE/0abcc1/1827486-a98c3o.jpg?ctr=eg
reasons travel tween 326 m in lakes by 6 million,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",326 sqm,Twin House,/en/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-layan-residence-1827179.html,"6,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619513441/260/185/MODE/34c346/1827179-9977bo.jpg?ctr=eg
 234   273    8  ,"Sodic East, 6th District, New Heliopolis, Cairo",290 sqm,Villa,/en/buy/villa-for-sale-cairo-new-heliopolis-6th-district-sodic-east-1824280.html,"5,400,000 EGP",3 ,https://www.propertyfinder.eg/property/1619438411/260/185/MODE/fa1dd3/1824280-8103ao.jpg?ctr=eg
Town house middle in Palm Hills Katameya 375 sqm,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",375 sqm,Townhouse,/en/buy/townhouse-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-palm-hills-kattameya-1827028.html,"5,850,000 EGP",4 ,https://www.propertyfinder.eg/property/1619483992/260/185/MODE/138235/1827028-5bea2o.jpg?ctr=eg
Town House Middle 197m Prime Location at Hyde Park,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",197 sqm,Townhouse,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-1825627.html,"3,600,000 EGP",2 ,https://www.propertyfinder.eg/property/1619446287/260/185/MODE/6f294a/1825627-8ae1eo.jpg?ctr=eg
buy Apartment in district6 very prime location245m,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",245 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-bait-alwatan-1825874.html,"1,715,000 EGP",3 ,https://www.propertyfinder.eg/property/1619447753/260/185/MODE/88cbb8/1825874-60692o.jpg?ctr=eg
AlMarasem Fifthsquare Apartment 166M2+74M2 Garden,"Fifth Square, North Investors Area, New Cairo City, Cairo",166 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-fifth-square-1826275.html,"3,768,701 EGP",3 ,https://www.propertyfinder.eg/property/1619450549/260/185/MODE/67273e/1826275-65c1do.jpg?ctr=eg
        ,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",396 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-1824130.html,"6,600,000 EGP",4 ,https://www.propertyfinder.eg/property/1619437217/260/185/MODE/9cee6c/1824130-c7213o.jpg?ctr=eg
Townhouse in The Mark with a great location+price,"The MarQ, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",185 sqm,Townhouse,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-marq-1824118.html,"3,850,000 EGP",4 ,https://www.propertyfinder.eg/property/1619437125/260/185/MODE/d85f28/1824118-e9376o.jpg?ctr=eg
14 years installments Own a villa in Al Burouj,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",450 sqm,Villa,/en/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-1825250.html,"9,400,000 EGP",5 ,https://www.propertyfinder.eg/property/1619444069/260/185/MODE/69010a/1825250-34f10o.jpg?ctr=eg
Ultra super lux apartment for sale in The Square,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",210 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-square-1828203.html,"2,640,000 EGP",4 ,https://www.propertyfinder.eg/property/1619527968/260/185/MODE/b82f0b/1828203-219c1o.jpg?ctr=eg
Apartment (210) m For Sale in Eastown sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",210 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-1828619.html,"3,600,000 EGP",3 ,https://www.propertyfinder.eg/property/1619530230/260/185/MODE/8ccd4b/1828619-ef1aao.jpg?ctr=eg
Duplex ultra super lux 550 M for sale in ELyasmine,"Mohamed Rahim St., El Yasmeen 3, El Yasmeen, New Cairo City, Cairo",550 sqm,Duplex,/en/buy/duplex-for-sale-cairo-new-cairo-city-el-yasmeen-el-yasmeen-3-mohamed-rahim-st-1828281.html,"5,900,000 EGP",5 ,https://www.propertyfinder.eg/property/1619528432/260/185/MODE/e6ea50/1828281-eafdco.jpg?ctr=eg
Ivilla Roof middle Type A For Sale In MVHP,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300 sqm,iVilla,/en/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-1828970.html,"3,500,000 EGP",3 ,https://www.propertyfinder.eg/property/1619531935/260/185/MODE/93ba77/1828970-12f3bo.jpg?ctr=eg
